Input String,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon whirl_token sep_op_par id_var2 comp_great cmt_2 sep_cl_par sep_op_brac transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var2 arith_assign cmt_1 sep_semicolon sep_cl_brac sep_semicolon launchwhirl_token sep_op_brac transmission_token sep_op_par "Helllo Worldswsws! :D" sep_cl_par sep_semicolon id_var1 arith_assign cmt_1 sep_semicolon sep_cl_brac whirl_token sep_op_par id_var1 comp_great cmt_2 sep_cl_par sep_semicolon,
,,
Action,Stack,Remaining Input
SHIFT,,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon whirl_token sep_op_par id_var2 comp_great cmt_2 sep_cl_par sep_op_brac transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var2 arith_assign cmt_1 sep_semicolon sep_cl_brac sep_semicolon launchwhirl_token sep_op_brac transmission_token sep_op_par "Helllo Worldswsws! :D" sep_cl_par sep_semicolon id_var1 arith_assign cmt_1 sep_semicolon sep_cl_brac whirl_token sep_op_par id_var1 comp_great cmt_2 sep_cl_par sep_semicolon
SHIFT,comet_token,id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon whirl_token sep_op_par id_var2 comp_great cmt_2 sep_cl_par sep_op_brac transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var2 arith_assign cmt_1 sep_semicolon sep_cl_brac sep_semicolon launchwhirl_token sep_op_brac transmission_token sep_op_par "Helllo Worldswsws! :D" sep_cl_par sep_semicolon id_var1 arith_assign cmt_1 sep_semicolon sep_cl_brac whirl_token sep_op_par id_var1 comp_great cmt_2 sep_cl_par sep_semicolon
REDUCE TO comet_token identifier <- id_var2                                                                    ,,
SHIFT,comet_token identifier,arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon whirl_token sep_op_par id_var2 comp_great cmt_2 sep_cl_par sep_op_brac transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var2 arith_assign cmt_1 sep_semicolon sep_cl_brac sep_semicolon launchwhirl_token sep_op_brac transmission_token sep_op_par "Helllo Worldswsws! :D" sep_cl_par sep_semicolon id_var1 arith_assign cmt_1 sep_semicolon sep_cl_brac whirl_token sep_op_par id_var1 comp_great cmt_2 sep_cl_par sep_semicolon
SHIFT,comet_token identifier arith_assign,cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon whirl_token sep_op_par id_var2 comp_great cmt_2 sep_cl_par sep_op_brac transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var2 arith_assign cmt_1 sep_semicolon sep_cl_brac sep_semicolon launchwhirl_token sep_op_brac transmission_token sep_op_par "Helllo Worldswsws! :D" sep_cl_par sep_semicolon id_var1 arith_assign cmt_1 sep_semicolon sep_cl_brac whirl_token sep_op_par id_var1 comp_great cmt_2 sep_cl_par sep_semicolon
REDUCE TO comet_token identifier arith_assign comet_literal <- cmt_3                                                                  ,,
SHIFT,comet_token identifier arith_assign comet_literal,sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon whirl_token sep_op_par id_var2 comp_great cmt_2 sep_cl_par sep_op_brac transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var2 arith_assign cmt_1 sep_semicolon sep_cl_brac sep_semicolon launchwhirl_token sep_op_brac transmission_token sep_op_par "Helllo Worldswsws! :D" sep_cl_par sep_semicolon id_var1 arith_assign cmt_1 sep_semicolon sep_cl_brac whirl_token sep_op_par id_var1 comp_great cmt_2 sep_cl_par sep_semicolon
REDUCE TO decStmt <- comet_token identifier arith_assign comet_literal sep_semicolon                                                                 ,,
